afcd_code,name,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fibre_g_per_100g
F001818,"Breakfast cereal, wheat bran, flakes, added vitamins & minerals (Kellogg's Bran Flakes)",353.0,12.2,3.6,58.4,19.3
F001844,"Breakfast cereal, whole wheat, biscuit, added vitamins & minerals (Sanitarium Weet Bix)",338.9,11.9,2.3,61.0,11.0
F001845,"Breakfast cereal, whole wheat, biscuit, bran, added vitamins & minerals (Sanitarium Weet-Bix Hi-Bran)",363.5,12.5,5.6,56.5,17.5
F001860,"Breakfast cereal, whole wheat, flakes, added vitamins & minerals (Weeties style)",350.6,11.5,2.0,65.0,11.7
F001862,"Breakfast cereal, whole wheat, flakes, dried fruit & nuts, added vitamins & minerals (Uncle Toby's Fibre Plus)",356.1,9.1,3.3,65.6,15.5
F001823,"Breakfast cereal, wheat bran, flakes, sultanas, added vitamins & minerals (Kellogg's Sultana Bran)",332.5,9.8,1.5,63.3,14.8
F009807,"Muesli, granola, toasted, added nuts & seeds, unfortified",424.5,11.2,17.6,52.3,7.6
F009808,"Muesli, granola, non-oat based, toasted, added nuts & seeds, unfortified",442.4,11.9,18.8,53.5,6.6
F005856,"Muesli, toasted, added dried fruit & nuts, unfortified",401.5,8.9,13.3,56.6,11.4
F005857,"Muesli, untoasted or natural style, added dried fruit, unfortified",393.4,10.8,10.8,59.2,9.4
F007164,"Porridge, rolled oats, prepared with water",89.4,3.0,2.9,11.4,2.9
F007156,"Porridge, rolled oats, prepared with regular fat cow's milk",126.0,5.3,4.9,14.5,1.6
F007143,"Porridge, rolled oats mixed with sugar or honey & other flavours, prepared with cow's milk",139.8,4.6,4.4,19.8,1.7
F001374,"Bread, banana, commercial",293.5,5.7,11.1,43.1,1.5
F001376,"Bread, banana, homemade",334.6,5.3,12.7,50.0,1.3
F008273,"Slice, brownie, chocolate, without nuts, commercial",414.7,7.1,23.1,45.6,2.6
F008272,"Slice, brownie, chocolate, with nuts, homemade",461.0,6.5,25.5,52.7,1.9
F008278,"Slice, caramel",443.6,5.3,24.6,52.4,0.8
F002021,"Cake mix, plain, dry powder",383.1,4.8,8.2,73.5,1.4
F002100,"Cake, carrot, commercial, iced",387.2,4.4,20.4,47.6,1.5
F002102,"Cake, carrot, homemade, uniced",342.5,4.8,16.0,45.3,2.1
F002101,"Cake, carrot, homemade, iced",344.6,3.9,15.0,49.5,1.7
